HYPERLIQUID SPOT ASSETS
============================================================
Name            | Index  | Decimals
------------------------------------------------------------
USDC            | 0      | 8       
PURR            | 1      | 5       
HFUN            | 2      | 8       
LICK            | 3      | 5       
MANLET          | 4      | 5       
JEFF            | 5      | 5       
SIX             | 6      | 8       
WAGMI           | 7      | 8       
CAPPY           | 8      | 5       
POINTS          | 9      | 5       
TRUMP           | 10     | 7       
GMEOW           | 11     | 8       
PEPE            | 12     | 7       
XULIAN          | 13     | 5       
RUG             | 14     | 5       
ILIENS          | 15     | 5       
FUCKY           | 16     | 8       
CZ              | 17     | 7       
BAGS            | 18     | 5       
ANSEM           | 19     | 5       
TATE            | 20     | 5       
FUN             | 21     | 6       
SUCKY           | 22     | 5       
BIGBEN          | 23     | 8       
KOBE            | 24     | 5       
VEGAS           | 25     | 8       
PUMP            | 26     | 5       
SCHIZO          | 27     | 8       
CATNIP          | 28     | 8       
HAPPY           | 29     | 8       
SELL            | 30     | 5       
HBOOST          | 31     | 5       
FARMED          | 32     | 7       
PURRPS          | 33     | 5       
GUP             | 34     | 8       
GPT             | 35     | 7       
PANDA           | 36     | 5       
BID             | 37     | 5       
HODL            | 38     | 8       
RAGE            | 39     | 8       
ASI             | 40     | 7       
LEAP            | 41     | 8       
VAPOR           | 42     | 5       
PVP             | 43     | 5       
X               | 44     | 7       
PILL            | 45     | 8       
ADHD            | 46     | 5       
LADY            | 47     | 7       
CAT             | 48     | 7       
HPEPE           | 49     | 5       
MBAPPE          | 50     | 7       
MAGA            | 51     | 7       
MOG             | 52     | 8       
OMNIX           | 53     | 6       
COKE            | 54     | 8       
JEET            | 55     | 5       
DROP            | 56     | 7       
CBD             | 57     | 5       
ARI             | 58     | 8       
TEST            | 59     | 5       
KING            | 60     | 6       
MEOW            | 61     | 6       
ANT             | 62     | 8       
FRAC            | 63     | 6       
ATEHUN          | 64     | 8       
FRCT            | 65     | 6       
COZY            | 66     | 8       
WASH            | 67     | 8       
POP             | 68     | 6       
NFT             | 69     | 8       
JEFE            | 70     | 6       
PEAR            | 71     | 6       
RICH            | 72     | 8       
BRIDGE          | 73     | 7       
GUESS           | 74     | 7       
LORA            | 75     | 8       
CATBAL          | 76     | 8       
TJIF            | 77     | 8       
NEIRO           | 78     | 6       
TIME            | 79     | 8       
BERA            | 80     | 6       
ANGY            | 81     | 8       
