HYPERLIQUID SPOT ASSETS
================================================================================
Name            | Index  | Asset ID     | Decimals
--------------------------------------------------------------------------------
USDC            | 0      | 10000        | 8       
PURR            | 1      | 10001        | 5       
HFUN            | 2      | 10002        | 8       
LICK            | 3      | 10003        | 5       
MANLET          | 4      | 10004        | 5       
JEFF            | 5      | 10005        | 5       
SIX             | 6      | 10006        | 8       
WAGMI           | 7      | 10007        | 8       
CAPPY           | 8      | 10008        | 5       
POINTS          | 9      | 10009        | 5       
TRUMP           | 10     | 10010        | 7       
GMEOW           | 11     | 10011        | 8       
PEPE            | 12     | 10012        | 7       
XULIAN          | 13     | 10013        | 5       
RUG             | 14     | 10014        | 5       
ILIENS          | 15     | 10015        | 5       
FUCKY           | 16     | 10016        | 8       
CZ              | 17     | 10017        | 7       
BAGS            | 18     | 10018        | 5       
ANSEM           | 19     | 10019        | 5       
TATE            | 20     | 10020        | 5       
FUN             | 21     | 10021        | 6       
SUCKY           | 22     | 10022        | 5       
BIGBEN          | 23     | 10023        | 8       
KOBE            | 24     | 10024        | 5       
VEGAS           | 25     | 10025        | 8       
PUMP            | 26     | 10026        | 5       
SCHIZO          | 27     | 10027        | 8       
CATNIP          | 28     | 10028        | 8       
HAPPY           | 29     | 10029        | 8       
SELL            | 30     | 10030        | 5       
HBOOST          | 31     | 10031        | 5       
FARMED          | 32     | 10032        | 7       
PURRPS          | 33     | 10033        | 5       
GUP             | 34     | 10034        | 8       
GPT             | 35     | 10035        | 7       
PANDA           | 36     | 10036        | 5       
BID             | 37     | 10037        | 5       
HODL            | 38     | 10038        | 8       
RAGE            | 39     | 10039        | 8       
ASI             | 40     | 10040        | 7       
LEAP            | 41     | 10041        | 8       
VAPOR           | 42     | 10042        | 5       
PVP             | 43     | 10043        | 5       
X               | 44     | 10044        | 7       
PILL            | 45     | 10045        | 8       
ADHD            | 46     | 10046        | 5       
LADY            | 47     | 10047        | 7       
CAT             | 48     | 10048        | 7       
HPEPE           | 49     | 10049        | 5       
MBAPPE          | 50     | 10050        | 7       
MAGA            | 51     | 10051        | 7       
MOG             | 52     | 10052        | 8       
OMNIX           | 53     | 10053        | 6       
COKE            | 54     | 10054        | 8       
JEET            | 55     | 10055        | 5       
DROP            | 56     | 10056        | 7       
CBD             | 57     | 10057        | 5       
ARI             | 58     | 10058        | 8       
TEST            | 59     | 10059        | 5       
KING            | 60     | 10060        | 6       
MEOW            | 61     | 10061        | 6       
ANT             | 62     | 10062        | 8       
FRAC            | 63     | 10063        | 6       
ATEHUN          | 64     | 10064        | 8       
FRCT            | 65     | 10065        | 6       
COZY            | 66     | 10066        | 8       
WASH            | 67     | 10067        | 8       
POP             | 68     | 10068        | 6       
NFT             | 69     | 10069        | 8       
JEFE            | 70     | 10070        | 6       
PEAR            | 71     | 10071        | 6       
RICH            | 72     | 10072        | 8       
BRIDGE          | 73     | 10073        | 7       
GUESS           | 74     | 10074        | 7       
LORA            | 75     | 10075        | 8       
CATBAL          | 76     | 10076        | 8       
TJIF            | 77     | 10077        | 8       
NEIRO           | 78     | 10078        | 6       
TIME            | 79     | 10079        | 8       
BERA            | 80     | 10080        | 6       
ANGY            | 81     | 10081        | 8       
DOG             | 82     | 10082        | 7       
MOON            | 83     | 10083        | 8       
MAXI            | 84     | 10084        | 8       
PAIN            | 85     | 10085        | 8       
VDO             | 86     | 10086        | 8       
HQ              | 87     | 10087        | 6       
EUR             | 88     | 10088        | 6       
REGARD          | 89     | 10089        | 8       
YUM             | 90     | 10090        | 8       
REKT            | 91     | 10091        | 5       
NMTD            | 92     | 10092        | 8       
HPUMP           | 93     | 10093        | 8       
PIGEON          | 94     | 10094        | 8       
LAUNCH          | 95     | 10095        | 8       
IRL             | 96     | 10096        | 6       
RISE            | 97     | 10097        | 8       
WOW             | 98     | 10098        | 5       
CINDY           | 99     | 10099        | 8       
CHINA           | 100    | 10100        | 8       
STACK           | 101    | 10101        | 8       
FRIED           | 102    | 10102        | 8       
PICKL           | 103    | 10103        | 7       
SHREK           | 104    | 10104        | 8       
NOCEX           | 105    | 10105        | 8       
VAULT           | 106    | 10106        | 8       
RANK            | 107    | 10107        | 8       
L               | 108    | 10108        | 7       
H               | 109    | 10109        | 7       
G               | 110    | 10110        | 7       
SCAM            | 111    | 10111        | 8       
MONAD           | 112    | 10112        | 8       
BOZO            | 113    | 10113        | 7       
RIP             | 114    | 10114        | 8       
UP              | 115    | 10115        | 7       
GIGA            | 116    | 10116        | 7       
FELIX           | 117    | 10117        | 8       
SPH             | 118    | 10118        | 8       
STHYPE          | 119    | 10119        | 8       
HPL             | 120    | 10120        | 8       
KHYPE           | 121    | 10121        | 8       
HOPE            | 122    | 10122        | 5       
SHOE            | 123    | 10123        | 8       
KNTQ            | 124    | 10124        | 8       
BUSSY           | 125    | 10125        | 8       
FATCAT          | 126    | 10126        | 8       
PIP             | 127    | 10127        | 8       
YEETI           | 128    | 10128        | 5       
LQNA            | 129    | 10129        | 8       
NASDAQ          | 130    | 10130        | 8       
SYLVI           | 131    | 10131        | 8       
FEIT            | 132    | 10132        | 8       
STRICT          | 133    | 10133        | 5       
FRUDO           | 134    | 10134        | 8       
VIZN            | 135    | 10135        | 8       
AUTIST          | 136    | 10136        | 8       
HGOD            | 137    | 10137        | 8       
LIQUID          | 138    | 10138        | 8       
CHEF            | 139    | 10139        | 8       
AZUR            | 140    | 10140        | 7       
EARTH           | 141    | 10141        | 8       
NIGGO           | 142    | 10142        | 8       
LUCKY           | 143    | 10143        | 5       
HOP             | 144    | 10144        | 8       
FAN             | 145    | 10145        | 5       
MUNCH           | 146    | 10146        | 5       
COPE            | 147    | 10147        | 8       
HPYH            | 148    | 10148        | 8       
YAP             | 149    | 10149        | 8       
HYPE            | 150    | 10150        | 8       
STEEL           | 151    | 10151        | 8       
RETARD          | 152    | 10152        | 8       
HOLD            | 153    | 10153        | 8       
STAR            | 154    | 10154        | 8       
WATAR           | 155    | 10155        | 8       
GENESY          | 156    | 10156        | 8       
SOLV            | 157    | 10157        | 8       
BUBZ            | 158    | 10158        | 8       
SHEEP           | 159    | 10159        | 8       
HYFI            | 160    | 10160        | 8       
FARM            | 161    | 10161        | 8       
FLASK           | 162    | 10162        | 8       
SOVRN           | 163    | 10163        | 8       
MON             | 164    | 10164        | 8       
GOD             | 165    | 10165        | 8       
CREAM           | 166    | 10166        | 8       
ANIME           | 167    | 10167        | 8       
HYENA           | 168    | 10168        | 8       
ETHC            | 169    | 10169        | 8       
ANZ             | 170    | 10170        | 8       
GAME            | 171    | 10171        | 8       
RIFT            | 172    | 10172        | 8       
SWELL           | 173    | 10173        | 8       
DEPIN           | 174    | 10174        | 8       
ROUTE           | 175    | 10175        | 8       
BEATS           | 176    | 10176        | 8       
ORA             | 177    | 10177        | 8       
LIQD            | 178    | 10178        | 8       
XBG             | 179    | 10179        | 8       
HETU            | 180    | 10180        | 8       
GG              | 181    | 10181        | 8       
WOOL            | 182    | 10182        | 8       
ISLAND          | 183    | 10183        | 8       
SIPHER          | 184    | 10184        | 8       
DBR             | 185    | 10185        | 6       
SENT            | 186    | 10186        | 8       
FLY             | 187    | 10187        | 8       
SSS             | 188    | 10188        | 8       
HWTR            | 189    | 10189        | 8       
NEKO            | 190    | 10190        | 8       
UNIT            | 191    | 10191        | 8       
PEG             | 192    | 10192        | 5       
NEURAL          | 193    | 10193        | 8       
PIE             | 194    | 10194        | 8       
DRIVE           | 195    | 10195        | 8       
JPEG            | 196    | 10196        | 8       
UBTC            | 197    | 10197        | 10      
TGE             | 198    | 10198        | 8       
HEAD            | 199    | 10199        | 8       
EDGE            | 200    | 10200        | 8       
GEN             | 201    | 10201        | 5       
PRFI            | 202    | 10202        | 8       
REI             | 203    | 10203        | 8       
VORTX           | 204    | 10204        | 8       
HAR             | 205    | 10205        | 8       
DEFIN           | 206    | 10206        | 8       
APU             | 207    | 10207        | 8       
MOCA            | 208    | 10208        | 8       
TILT            | 209    | 10209        | 8       
SPR             | 210    | 10210        | 8       
HIPPO           | 211    | 10211        | 6       
HANA            | 212    | 10212        | 8       
SWAP            | 213    | 10213        | 8       
MORE            | 214    | 10214        | 5       
LOOT            | 215    | 10215        | 7       
LUMI            | 216    | 10216        | 6       
WHYPI           | 217    | 10217        | 8       
ANON            | 218    | 10218        | 8       
OTTI            | 219    | 10219        | 8       
HORSY           | 220    | 10220        | 8       
UETH            | 221    | 10221        | 9       
BUDDY           | 222    | 10222        | 8       
LATINA          | 223    | 10223        | 8       
WLFI            | 224    | 10224        | 8       
AIR             | 225    | 10225        | 8       
K               | 226    | 10226        | 8       
PLUME           | 227    | 10227        | 8       
LIM             | 228    | 10228        | 8       
HUSD            | 229    | 10229        | 6       
DHYPE           | 230    | 10230        | 8       
EDA             | 231    | 10231        | 5       
FUND            | 232    | 10232        | 8       
EXP             | 233    | 10233        | 8       
SENTI           | 234    | 10234        | 8       
USDE            | 235    | 10235        | 8       
HIP             | 236    | 10236        | 8       
SLAY            | 237    | 10237        | 6       
B               | 238    | 10238        | 8       
USDXL           | 239    | 10239        | 7       
USH             | 240    | 10240        | 8       
FEUSD           | 241    | 10241        | 8       
COOK            | 242    | 10242        | 8       
OKI             | 243    | 10243        | 8       
BORG            | 244    | 10244        | 8       
SIGN            | 245    | 10245        | 8       
WMNT            | 246    | 10246        | 8       
KITTEN          | 247    | 10247        | 8       
USR             | 248    | 10248        | 8       
LEND            | 249    | 10249        | 8       
CATH            | 250    | 10250        | 8       
QUANT           | 251    | 10251        | 8       
ONLYUP          | 252    | 10252        | 5       
RAT             | 253    | 10253        | 8       
USOL            | 254    | 10254        | 8       
PURRO           | 255    | 10255        | 8       
KITTY           | 256    | 10256        | 8       
TREND           | 257    | 10257        | 7       
COIN            | 258    | 10258        | 8       
STORM           | 259    | 10259        | 5       
RISK            | 260    | 10260        | 8       
PLAY            | 261    | 10261        | 8       
NET             | 262    | 10262        | 8       
LOOP            | 263    | 10263        | 8       
LTHREE          | 264    | 10264        | 8       
WELL            | 265    | 10265        | 8       
